hgnc_id,gene,clinvar_missense_vus,missense_vus_unique,missense_vus_movable_unique,missense_vus_observed,missense_vus_movable_observed,from_invitae,missense_vus_movability_fraction,missense_vus_occurance_per_variant,weighted_movability_fraction,weighted_occurance_per_variant,marwis,aa_length,dais,rank_by_clinvar_vus,rank_by_marwis,rank_dais
3603,FBN1,1069,544,132,799,188,TRUE,0.242647059,1.46875,0.240626265,1.469662519,378.0405211,2871,0.119218077,26,12,39
6547,LDLR,237,263,85,485,158,TRUE,0.323193916,1.844106464,0.316699993,1.834884541,137.7225773,860,0.11872636,167,49,40
11947,TNNI3,144,75,21,120,35,TRUE,0.28,1.6,0.262960218,1.593418201,60.33680602,210,0.118307463,298,109,41
1884,CFTR,562,615,101,1398,229,TRUE,0.164227642,2.273170732,0.163444138,2.263649616,207.9289065,1480,0.116813992,58,25,42
10680,SDHA,585,538,38,1465,94,TRUE,0.07063197,2.723048327,0.071109337,2.705592877,112.5498559,664,0.116752963,55,63,43
9967,RET,676,601,56,1570,128,TRUE,0.093178037,2.612312812,0.093309849,2.598117752,163.8826633,1114,0.115900045,43,37,44
9585,PTCH1,879,813,75,2020,164,TRUE,0.092250923,2.484624846,0.092357732,2.475339477,200.9541148,1447,0.115028114,34,28,45
1058,BLM,829,769,71,1888,136,TRUE,0.092327698,2.455136541,0.092439766,2.445628971,187.4148233,1417,0.109152489,36,34,46
6251,KCNH2,499,377,66,689,102,TRUE,0.175066313,1.827586207,0.173573242,1.82143821,157.7603144,1159,0.108129071,73,42,47
8803,PDGFRA,659,630,54,1653,117,TRUE,0.085714286,2.623809524,0.085933696,2.610115534,147.8116406,1089,0.106415868,47,45,48
11100,SMARCA4,1083,866,65,2203,184,TRUE,0.075057737,2.543879908,0.075315444,2.53461523,206.7400122,1647,0.106183879,24,26,49
427,ALK,904,852,80,2044,171,TRUE,0.093896714,2.399061033,0.09398337,2.390992687,203.1410492,1620,0.10580263,33,27,50
9949,RECQL4,1124,1085,54,3071,152,TRUE,0.049769585,2.830414747,0.050160748,2.820909159,159.0447802,1208,0.105467361,21,41,51
2509,CTNNA1,408,389,47,960,103,TRUE,0.120822622,2.467866324,0.120467753,2.44900179,120.3705034,906,0.099809704,92,56,52
17284,POT1,342,274,36,573,97,TRUE,0.131386861,2.091240876,0.130587582,2.075367768,92.68790235,634,0.099237583,114,75,53
3584,FANCC,293,263,31,653,55,TRUE,0.117870722,2.482889734,0.117438,2.454810741,84.4684029,558,0.098448022,133,79,54
7225,MPZ,89,71,30,103,42,TRUE,0.422535211,1.450704225,0.39019871,1.45890773,50.66448837,248,0.092453446,507,127,55
1480,CAPN3,256,272,52,586,124,TRUE,0.191176471,2.154411765,0.188663207,2.136620395,103.1940242,821,0.092055329,154,69,56
10483,RYR1,924,1014,306,1798,512,TRUE,0.301775148,1.773175542,0.30022084,1.771285431,491.3617626,5038,0.092049787,32,10,57
4283,GJB1,82,85,41,122,56,TRUE,0.482352941,1.435294118,0.449738689,1.443588287,53.23747531,283,0.091316424,555,124,58
4065,GAA,395,482,59,1145,128,TRUE,0.122406639,2.375518672,0.122093261,2.361742267,113.8993623,952,0.090973932,94,61,59
6342,KIT,543,524,40,1455,113,TRUE,0.076335878,2.776717557,0.076740034,2.757995697,114.9252351,976,0.090066799,61,59,60
10682,SDHC,152,138,15,354,40,TRUE,0.108695652,2.565217391,0.108395192,2.50858706,41.33165408,169,0.088127194,274,165,61
28648,DIS3L2,501,471,38,1199,95,TRUE,0.080679406,2.545647558,0.081055737,2.528713384,102.6883304,885,0.086656819,72,70,62
10593,SCN5A,790,563,72,1122,171,TRUE,0.127886323,1.992895204,0.127540627,1.986433819,200.1473019,2016,0.086419388,38,29,63
12791,WRN,755,712,59,1702,144,TRUE,0.082865169,2.390449438,0.083091247,2.380907932,149.3636204,1432,0.086237656,40,44,64
6294,KCNQ1,252,168,34,284,48,TRUE,0.202380952,1.69047619,0.197873285,1.68325972,83.93417664,676,0.085998132,158,81,65
10585,SCN1A,446,341,114,454,157,TRUE,0.33431085,1.331378299,0.329013462,1.335970518,196.0403189,2009,0.084902693,84,30,66
950,BAP1,533,329,25,706,57,TRUE,0.075987842,2.145896657,0.076634119,2.131316649,87.05572871,729,0.084602263,63,78,67
7584,MYL3,84,41,11,86,28,TRUE,0.268292683,2.097560976,0.241340777,2.005177769,40.65021755,195,0.082121652,542,168,68
7230,MRE11,549,218,13,520,29,TRUE,0.059633028,2.385321101,0.061175655,2.355104915,79.09722237,708,0.078469467,60,87,69
12405,TTR,51,35,13,79,23,TRUE,0.371428571,2.257142857,0.321527862,2.122179319,34.79932877,147,0.077850847,893,204,70
1773,CDK4,228,157,13,391,19,TRUE,0.082802548,2.49044586,0.08379211,2.443961883,46.6909166,303,0.077431039,174,140,71
12362,TSC1,671,575,56,981,101,TRUE,0.097391304,1.706086957,0.09747118,1.703694186,111.4269868,1164,0.07611133,44,66,72
4135,GALT,94,88,29,149,48,TRUE,0.329545455,1.693181818,0.310684355,1.679726153,49.05527583,379,0.072246356,480,131,73
12010,TPM1,136,65,14,99,27,TRUE,0.215384615,1.523076923,0.203091755,1.524023434,42.09425668,284,0.072079207,319,159,74
10683,SDHD,136,137,14,327,30,TRUE,0.102189781,2.386861314,0.102246194,2.339680763,32.53438953,159,0.070881023,320,217,75
27310,FLCN,367,326,22,812,35,TRUE,0.067484663,2.490797546,0.068340413,2.467825481,61.8953624,579,0.070415657,104,107,76
6770,SMAD4,349,219,18,456,39,TRUE,0.082191781,2.082191781,0.082932591,2.062791677,59.70435757,552,0.070075537,112,111,77
7583,MYL2,105,68,13,115,21,TRUE,0.191176471,1.691176471,0.18191708,1.67439093,31.98303243,166,0.068633117,415,221,78
16877,MFN2,210,161,35,252,63,TRUE,0.217391304,1.565217391,0.211986379,1.563631424,69.60839844,757,0.065854682,192,100,79
4171,GATA2,231,209,24,401,55,TRUE,0.114832536,1.918660287,0.114404139,1.90439498,50.32812415,480,0.064523236,172,129,80
12796,WT1,281,266,18,539,34,TRUE,0.067669173,2.026315789,0.068706927,2.011874857,38.8425568,302,0.06452252,141,176,81
1514,CASR,493,442,37,960,73,TRUE,0.083710407,2.171945701,0.084057107,2.160563802,89.53409596,1088,0.064505833,76,76,82
1786,CDKN1C,176,187,18,440,47,TRUE,0.096256684,2.352941176,0.096542041,2.319249798,39.40729939,316,0.063972889,234,171,83
7029,MET,668,608,44,1341,69,TRUE,0.072368421,2.205592105,0.07276899,2.196840439,106.787723,1408,0.062522086,45,68,84
2770,DES,199,170,22,323,40,TRUE,0.129411765,1.9,0.128234259,1.883447813,48.06298435,470,0.06241946,207,136,85
5112,HOXB13,253,124,11,200,16,TRUE,0.088709677,1.612903226,0.089588622,1.607982657,36.44640839,284,0.062408234,156,193,86
4296,GLA,91,67,20,115,34,TRUE,0.298507463,1.71641791,0.277675974,1.696716143,42.87349505,429,0.058811379,493,155,87
92,ACADVL,141,213,47,395,108,TRUE,0.220657277,1.854460094,0.216405874,1.842776972,56.22907423,678,0.057493941,307,114,88
2019,CLCN1,176,152,41,238,71,TRUE,0.269736842,1.565789474,0.261410613,1.564085692,71.96087352,988,0.055870243,233,95,89
4284,GJB2,65,75,13,213,32,TRUE,0.173333333,2.84,0.166574676,2.713900129,29.3843572,226,0.055863797,712,245,90
2209,COL5A1,431,385,62,656,81,TRUE,0.161038961,1.703896104,0.159861827,1.700391121,117.1577092,1838,0.054797806,86,57,91
16783,CDC73,148,146,23,290,55,TRUE,0.157534247,1.98630137,0.154712325,1.962686433,44.94046369,531,0.05407998,288,148,92
29203,TBC1D24,149,123,22,221,46,TRUE,0.178861789,1.796747967,0.17424197,1.780562677,46.22706356,559,0.053814975,283,143,93
9179,POLG,353,269,33,512,63,TRUE,0.12267658,1.903345725,0.122114434,1.892612674,81.58370956,1239,0.053010857,111,82,94
10969,SLC22A5,144,202,34,397,67,TRUE,0.168316832,1.965346535,0.165836658,1.948827194,46.53892626,581,0.052825115,297,142,95
2212,COL6A2,332,290,34,521,66,TRUE,0.117241379,1.796551724,0.116864759,1.789441982,69.42873819,1019,0.052637406,117,101,96
11730,TERT,484,463,32,1040,78,TRUE,0.069114471,2.246220302,0.069693627,2.234084311,75.35949579,1132,0.052625346,78,91,97
28472,TMEM43,201,116,11,224,20,TRUE,0.094827586,1.931034483,0.095368533,1.905271861,36.52229941,400,0.052174713,202,192,98
130,ACTA2,102,60,18,71,25,TRUE,0.3,1.183333333,0.276848501,1.224319275,34.57299754,377,0.051067943,425,207,99
11773,TGFBR2,196,94,16,130,20,TRUE,0.170212766,1.382978723,0.164957824,1.394644223,45.09126543,592,0.050550746,210,146,100
2211,COL6A1,257,221,34,376,58,TRUE,0.153846154,1.701357466,0.152077284,1.695431051,66.2639933,1028,0.049897585,152,103,101
8582,PAH,68,90,26,179,64,TRUE,0.288888889,1.988888889,0.273731613,1.951568477,36.32600712,452,0.048305861,673,194,102
3756,FLNC,829,832,72,1678,135,TRUE,0.086538462,2.016826923,0.08669726,2.012206798,144.6213838,2725,0.047808722,37,47,103
11772,TGFBR1,174,85,14,117,16,TRUE,0.164705882,1.376470588,0.159416108,1.389824846,38.55152149,507,0.047771402,235,177,104
3097,DYSF,494,673,72,1476,167,TRUE,0.106983655,2.193164933,0.106939351,2.185394583,115.4501112,2119,0.047726379,75,58,105
12829,XRCC2,135,96,10,192,18,TRUE,0.104166667,2,0.104093251,1.963977988,27.59897518,280,0.04758444,326,258,106
7773,NF2,240,198,17,410,28,TRUE,0.085858586,2.070707071,0.086532515,2.049775295,42.56933072,595,0.047563498,166,158,107
10471,RUNX1,240,225,16,482,36,TRUE,0.071111111,2.142222222,0.072213296,2.121260561,36.76397228,480,0.047133298,165,190,108
89,ACADM,75,104,30,178,55,TRUE,0.288461538,1.711538462,0.275229447,1.698693846,35.0647926,454,0.04650503,607,201,109
1785,CDKN1B,185,157,8,373,13,TRUE,0.050955414,2.375796178,0.053489079,2.334870974,23.10466825,198,0.046394916,222,315,110
11233,SPAST,89,75,33,84,37,TRUE,0.44,1.12,0.407538531,1.159683261,42.06278955,616,0.045920076,509,160,111
1550,CBS,133,188,26,407,47,TRUE,0.138297872,2.164893617,0.136865807,2.139049544,38.93744457,551,0.045754929,328,175,112
18865,KCNT1,226,208,46,296,69,TRUE,0.221153846,1.423076923,0.216785639,1.427100513,69.9187267,1235,0.045549659,176,99,113
1958,CHRNA4,169,142,23,222,35,TRUE,0.161971831,1.563380282,0.158837987,1.561691405,41.92145037,627,0.045222708,242,162,114
877,ALDH7A1,135,107,17,192,32,TRUE,0.158878505,1.794392523,0.15500607,1.776119224,37.16675026,539,0.044298868,327,187,115
5173,HRAS,82,68,8,159,32,TRUE,0.117647059,2.338235294,0.116127606,2.253338299,21.4573322,189,0.043880025,554,342,116
2074,CLN3,125,153,18,338,46,TRUE,0.117647059,2.209150327,0.116929802,2.175488886,31.79743552,438,0.043085956,354,224,117
9386,PRKAG2,214,131,14,214,29,TRUE,0.106870229,1.633587786,0.106659698,1.627724537,37.15309817,569,0.042753853,185,188,118
19877,GALNT12,211,136,13,254,20,TRUE,0.095588235,1.867647059,0.096011792,1.848984102,37.45762254,581,0.042517165,190,185,119
2860,DHCR7,83,173,32,383,47,TRUE,0.184971098,2.213872832,0.181357448,2.183722159,32.87084505,475,0.042413994,549,215,120
2079,CLN8,96,120,16,237,36,TRUE,0.133333333,1.975,0.131450766,1.947294615,24.57344345,286,0.041934204,472,298,121
3582,FANCA,451,742,60,1480,112,TRUE,0.080862534,1.994609164,0.081100931,1.989671614,72.77526315,1455,0.041467386,83,94,122
6296,KCNQ2,192,160,27,244,40,TRUE,0.16875,1.525,0.165629155,1.525319707,48.50638358,872,0.041387699,217,134,123
27337,ANO5,203,127,20,204,37,TRUE,0.157480315,1.606299213,0.15426443,1.601879339,50.1639397,913,0.041355268,200,130,124
26038,TMEM127,163,145,8,334,10,TRUE,0.055172414,2.303448276,0.057684301,2.263096148,21.27885453,238,0.039551774,252,346,125
3036,DSC2,345,172,13,310,20,TRUE,0.075581395,1.802325581,0.076809434,1.790298393,47.44157302,901,0.039501726,113,138,126
758,ASS1,57,119,29,253,66,TRUE,0.243697479,2.12605042,0.234848016,2.088611895,27.95886256,412,0.039268065,794,256,127
11610,TCAP,69,61,7,149,15,TRUE,0.114754098,2.442622951,0.113415914,2.3370103,18.28873702,167,0.039162178,657,401,128
9024,PKP2,357,222,17,372,27,TRUE,0.076576577,1.675675676,0.077503035,1.670668307,46.22502564,881,0.039140581,109,144,129
34,ABCA4,260,187,46,298,90,TRUE,0.245989305,1.593582888,0.240131785,1.59104467,99.33570315,2273,0.038606958,150,72,130
143,ACTC1,109,60,12,74,18,TRUE,0.2,1.233333333,0.188613207,1.268436922,26.07759119,377,0.038519337,395,277,131
11103,SMARCB1,106,92,13,170,37,TRUE,0.141304348,1.847826087,0.138256981,1.822537107,26.70971865,394,0.038486626,409,270,132
20001,PCSK9,251,93,10,131,11,TRUE,0.107526882,1.408602151,0.10718513,1.418353571,38.15862922,692,0.03846636,159,179,133
9118,PMP22,43,35,9,65,13,TRUE,0.257142857,1.857142857,0.228504607,1.796597923,17.65282877,160,0.038375715,1002,414,134
9884,RB1,372,302,24,476,28,TRUE,0.079470199,1.57615894,0.080082897,1.57501197,46.92092597,928,0.038209223,102,139,135
3622,FKTN,138,167,17,348,20,TRUE,0.101796407,2.083832335,0.101861132,2.058592633,28.93729944,461,0.038025361,314,249,136
61,ABCD1,127,170,35,259,56,TRUE,0.205882353,1.523529412,0.201267967,1.523897251,38.95238606,745,0.037275011,347,173,137
9154,PNKP,185,141,12,274,22,TRUE,0.085106383,1.943262411,0.086078511,1.921165844,30.59365248,521,0.037263889,220,233,138
9388,PRKAR1A,113,104,12,207,26,TRUE,0.115384615,1.990384615,0.114515161,1.957622417,25.33205153,381,0.037198314,383,288,139
18083,TRPV4,179,175,25,303,48,TRUE,0.142857143,1.731428571,0.141124033,1.722697873,43.51741886,871,0.037162612,230,153,140
25829,ABRAXAS1,99,60,8,127,25,TRUE,0.133333333,2.116666667,0.129789678,2.047848687,26.31317248,409,0.037113078,444,275,141
5542,IGHMBP2,250,229,25,404,39,TRUE,0.109170306,1.76419214,0.10896919,1.756344771,47.84686686,993,0.037004537,160,137,142
4136,GAMT,86,126,14,282,25,TRUE,0.111111111,2.238095238,0.110639538,2.195923214,20.89420996,269,0.036720931,525,351,143
30500,PRRT2,93,79,15,118,21,TRUE,0.189873418,1.493670886,0.181904576,1.497169089,25.32779742,394,0.036495385,483,290,144
2073,TPP1,142,197,21,414,45,TRUE,0.106598985,2.101522843,0.10646682,2.079286394,31.43525142,563,0.036425552,304,228,145
2076,CLN5,97,143,18,308,32,TRUE,0.125874126,2.153846154,0.124673497,2.120885501,25.64856663,407,0.036278029,459,283,146
10484,RYR2,1488,840,69,1305,101,TRUE,0.082142857,1.553571429,0.082341625,1.553365225,190.3250461,4967,0.03613538,13,33,147
175,ACVRL1,72,86,29,107,36,TRUE,0.337209302,1.244186047,0.31729466,1.268656497,28.98273113,503,0.036093065,627,248,148
3052,DSP,1044,574,36,994,64,TRUE,0.06271777,1.731707317,0.063274395,1.728958266,114.2123355,2871,0.036017766,28,60,149
23657,GNE,123,120,21,219,43,TRUE,0.175,1.825,0.170513266,1.806669615,37.89151986,753,0.035984349,358,181,150
2928,DMD,698,1043,132,1689,269,TRUE,0.126558006,1.61936721,0.126380303,1.61870001,142.7911144,3685,0.035832149,41,48,151
3236,EGFR,282,201,21,367,28,TRUE,0.104477612,1.825870647,0.104429177,1.814611056,53.43853186,1210,0.035389756,140,122,152
4451,GPC3,158,147,20,220,48,TRUE,0.136054422,1.496598639,0.134359342,1.498411037,31.80943242,603,0.035226392,262,223,153
4585,GRIN2A,225,176,36,240,45,TRUE,0.204545455,1.363636364,0.200139663,1.37094408,61.73556453,1464,0.034997486,177,108,154
3604,FBN2,564,407,55,599,65,TRUE,0.135135135,1.471744472,0.134519754,1.472900508,111.747697,2912,0.03479069,57,65,155
2213,COL6A3,630,565,62,990,114,TRUE,0.109734513,1.752212389,0.109643452,1.749133876,120.8220781,3177,0.034748944,50,55,156
4189,GCDH,62,83,23,131,41,TRUE,0.277108434,1.578313253,0.261820858,1.574216601,25.55408996,438,0.034626138,747,285,157
19139,POMGNT1,145,214,27,431,39,TRUE,0.126168224,2.014018692,0.125340982,1.996638337,36.28778852,748,0.034625752,295,195,158
26594,DOK7,138,156,16,310,43,TRUE,0.102564103,1.987179487,0.10259572,1.964961651,27.82033844,504,0.034602411,316,257,159
164,ACTN2,263,221,18,420,42,TRUE,0.081447964,1.900452489,0.082208289,1.887570789,40.81075256,894,0.03417986,149,167,160
12799,WWOX,171,164,12,316,18,TRUE,0.073170732,1.926829268,0.074568012,1.908451806,24.33491722,414,0.034082517,239,299,161
6998,MEFV,201,206,21,372,32,TRUE,0.101941748,1.805825243,0.101989243,1.795578087,36.80905976,781,0.034050934,203,189,162
16466,SUFU,229,187,9,435,14,TRUE,0.048128342,2.326203209,0.050388195,2.293608773,26.46571475,484,0.033757289,173,273,163
9081,PLOD1,149,145,19,262,32,TRUE,0.131034483,1.806896552,0.129579726,1.792507913,34.60862996,727,0.033698763,284,206,164
9475,PRSS1,56,46,9,85,16,TRUE,0.195652174,1.847826087,0.181957372,1.800994643,18.35143811,247,0.033549247,819,398,165
16406,EFHC1,128,103,16,168,27,TRUE,0.155339806,1.631067961,0.151582866,1.623907304,31.50803489,640,0.033519186,344,226,166
9829,RAF1,157,97,14,141,17,TRUE,0.144329897,1.453608247,0.141197125,1.45955915,32.35543215,668,0.033425033,266,219,167
13830,CNTNAP2,379,266,20,504,27,TRUE,0.07518797,1.894736842,0.076006197,1.88413763,54.27512578,1331,0.033277208,99,121,168
9153,PNKD,83,82,15,128,20,TRUE,0.182926829,1.56097561,0.17584109,1.558374563,22.74418137,385,0.033203184,545,322,169
19954,SLC25A22,68,66,13,108,19,TRUE,0.196969697,1.636363636,0.186833758,1.625050145,20.64576732,323,0.033139273,679,356,170
9325,PPT1,61,95,17,182,23,TRUE,0.178947368,1.915789474,0.17306503,1.885958356,19.9099998,306,0.032854785,751,369,171
15968,GDAP1,77,65,11,114,20,TRUE,0.169230769,1.753846154,0.161995864,1.729502886,21.57326822,358,0.032786122,588,337,172
17997,FKRP,172,205,16,395,34,TRUE,0.07804878,1.926829268,0.078993888,1.911989252,25.97809986,495,0.032676855,236,280,173
1956,CHRNA2,151,94,10,160,14,TRUE,0.106382979,1.70212766,0.106134295,1.68876187,27.0645681,529,0.032647247,278,265,174
11005,SLC2A1,111,94,14,151,28,TRUE,0.14893617,1.606382979,0.145349981,1.600526576,25.82265235,492,0.032604359,387,282,175
2974,DNM2,163,147,25,204,39,TRUE,0.170068027,1.387755102,0.166617407,1.39518523,37.89132969,870,0.032385752,251,182,176
10588,SCN2A,263,173,36,238,48,TRUE,0.208092486,1.375722543,0.203456895,1.382617186,73.98268909,2005,0.032096611,148,92,177
10805,SGCA,96,138,17,261,30,TRUE,0.123188406,1.891304348,0.122093822,1.871600758,21.93704551,387,0.031931653,466,329,178
3349,ENG,136,144,19,248,37,TRUE,0.131944444,1.722222222,0.130432224,1.712195465,30.37226294,658,0.031703824,324,239,179
2077,CLN6,101,126,12,256,21,TRUE,0.095238095,2.031746032,0.095714165,2.001893363,19.35256468,311,0.031673592,436,379,180
11943,TNNC1,56,42,7,71,20,TRUE,0.166666667,1.69047619,0.156513962,1.665074214,14.59401225,161,0.031657293,815,509,181
21701,BRAT1,217,233,18,486,27,TRUE,0.077253219,2.08583691,0.07811493,2.067442783,35.04509809,821,0.031262353,183,202,182
358,AIP,108,60,6,110,10,TRUE,0.1,1.833333333,0.100377913,1.797848687,19.49014429,330,0.030936737,398,376,183
2330,CPT2,123,168,18,380,47,TRUE,0.107142857,2.261904762,0.106964194,2.228714265,29.32229278,658,0.030607821,360,247,184
3702,FHL1,61,53,11,86,15,TRUE,0.20754717,1.622641509,0.193863903,1.610716569,19.04784784,323,0.030574395,762,388,185
23096,SLC29A3,59,56,11,126,23,TRUE,0.196428571,2.25,0.184776533,2.16021423,23.5502568,475,0.030387428,775,309,186
1962,CHRNB2,101,71,13,96,21,TRUE,0.183098592,1.352112676,0.175008836,1.370300135,24.22127787,502,0.030201095,432,300,187
11109,SMARCE1,153,127,9,247,14,TRUE,0.070866142,1.94488189,0.072782949,1.920397857,21.38514948,411,0.030077566,272,344,188
30224,SLC52A2,95,96,12,185,29,TRUE,0.125,1.927083333,0.12332402,1.896670295,22.22097552,445,0.029826813,474,327,189
9016,PKHD1,490,1144,151,2303,278,TRUE,0.131993007,2.013111888,0.131793141,2.009768846,129.7881367,4074,0.029672642,77,50,190
321,AGL,319,502,41,1046,95,TRUE,0.081673307,2.083665339,0.082011173,2.075007276,54.28543584,1532,0.029631788,123,119,191
939,BAG3,185,175,11,384,17,TRUE,0.062857143,2.194285714,0.064621301,2.165320824,25.88628201,575,0.029584322,221,281,192
24525,MMACHC,59,107,13,266,29,TRUE,0.121495327,2.485981308,0.120223462,2.419597484,17.16265073,282,0.029489091,781,427,193
9115,PMM2,37,93,24,166,48,TRUE,0.258064516,1.784946237,0.245798991,1.764888225,16.05088655,246,0.029397228,1096,461,194
7121,MKS1,122,186,19,380,46,TRUE,0.102150538,2.043010753,0.10219432,2.021926344,25.20878531,559,0.029346665,361,292,195
14153,CCDC78,90,93,12,179,21,TRUE,0.129032258,1.924731183,0.12698711,1.893601096,21.64166371,438,0.029324748,497,335,196
4061,SLC37A4,181,121,6,282,20,TRUE,0.049586777,2.330578512,0.052912388,2.281036517,21.84581125,451,0.029088963,226,330,197
11226,SPG11,497,489,43,887,107,TRUE,0.08793456,1.81390593,0.088180479,1.809363603,79.29662299,2443,0.028908721,74,86,198
6207,JUP,223,194,14,360,23,TRUE,0.072164948,1.855670103,0.073394545,1.842840152,30.16173441,745,0.028862904,178,240,199
23791,INF2,202,186,23,334,37,TRUE,0.123655914,1.795698925,0.122812877,1.784812942,44.27799838,1249,0.028584892,201,151,200
2472,CSRP3,88,73,7,122,10,TRUE,0.095890411,1.671232877,0.096613557,1.657453219,14.09165563,194,0.028525619,521,521,201
